Country Name,Country Code,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Average
Europe & Central Asia (excluding high income),ECA,79.29985121,79.25702624,79.56749543,79.72979023,80.59235727,81.50620335,81.87182945,79.91251879,81.67754406,92.90616318,92.8425213,92.12116394,91.54887916,91.3244413,90.97268678,90.42953184,90.24307213,90.25112687,89.87290858,89.69468424,89.59467973,89.50753292,89.82900442,89.65046016,89.58141616,89.61306168,89.7620315,90.03081737,89.24507145,89.40607876,89.88207809,89.74865726,88.70333856,89.87366522,87.64852025
Europe & Central Asia,ECS,89.21201412,88.490343,87.27272345,85.53891722,84.2539332,83.75479212,83.46446324,82.50451942,82.06105401,86.71457387,86.40307843,85.50897922,84.61249467,84.10059852,83.79051085,83.3616273,82.84719652,82.84127009,82.50011398,82.34366636,82.13178803,82.09195172,82.27396695,81.9615428,81.77460714,81.71437698,81.61764451,81.35234459,80.2614845,80.14902806,80.21061628,79.76864035,78.80862161,78.37981506,83.06097936
Ecuador,ECU,80.44720052,79.74876279,76.82594101,75.24376632,76.08231054,75.76470096,74.25598001,74.55054471,73.78259561,78.20974884,78.64847381,81.81159194,79.68356687,80.38830216,84.11476233,83.41052993,85.75095066,84.96531851,83.1562901,84.10732733,85.86363431,85.43973825,85.2379539,83.95550578,84.88932983,84.94441186,85.5949458,83.14892818,87.01507558,87.84865451,86.24184617,86.06629324,86.77054519,86.88466036,82.08382906
"Egypt, Arab Rep.",EGY,90.4415557,90.92021421,92.15832516,92.84051009,93.41783463,93.26304902,93.74022971,93.69366553,93.89853857,94.07344273,93.88800278,94.04718146,93.96157784,93.38439842,93.81627817,94.07725083,94.15809928,94.44745481,94.01790377,93.88155107,94.22360415,94.87049143,94.97358,96.81736276,96.23115195,96.28099188,96.04047938,96.16210914,96.40166314,97.21176113,96.7923892,96.81680023,98.46009119,97.92892979,94.62760203
Euro area,EMU,89.07712431,88.01324584,86.525849,84.33698769,82.54240837,81.80502828,81.48562738,80.5312638,80.1759652,79.56676723,79.33162429,78.54812658,77.85387056,78.01743193,78.06609718,77.74822463,77.37886921,77.80392056,77.34870958,76.83885377,76.77614419,76.60436832,76.44328633,76.32204327,76.11145753,75.5805138,75.21275897,74.39048733,73.47282059,72.78119997,72.33455766,71.69580202,70.84715102,69.41660494,77.97015269
Spain,ESP,93.34953373,93.07060361,92.00145714,86.58322287,85.40211513,82.89235455,81.85179412,79.30422987,77.60440171,77.38649914,77.95235701,79.25417767,77.6916953,78.59018687,79.60094521,77.85351034,80.06129405,79.52609681,80.97590441,80.63494269,79.84999602,81.46071287,80.82302302,81.83202563,83.4668124,82.50958877,83.18621648,81.80831582,79.71021292,76.00086331,76.50008869,75.0081484,72.55135063,71.53112185,80.81840585
Ethiopia,ETH,3.131700762,2.836743149,2.901175411,2.614917939,2.600700533,2.919627166,3.455532367,3.386060605,3.474582472,3.55033136,3.400891522,2.244968,2.736625394,3.04826749,3.343246354,3.51351176,3.311723269,3.325111178,3.225670428,3.427088548,4.132048222,4.186229952,4.3988355,4.474102441,4.093588189,4.247062388,4.648887741,4.905288427,4.856801682,4.579117972,4.573411803,5.007566884,5.78827082,6.56980663,3.791455716
European Union,EUU,89.77261626,89.06508402,87.73915452,85.78693341,84.28127353,83.58832259,83.22137384,82.28146015,81.8688567,80.88078633,80.36281508,79.71374395,79.01289444,78.88216124,78.90350032,78.71049398,78.165039,78.2794776,77.77490589,77.3691622,77.23596398,77.08983525,77.0638213,76.67393906,76.40953637,76.12642815,75.72293358,74.83150619,73.80373833,73.18514518,72.82949596,71.86365253,71.03358642,69.67524016,78.80014346
Fragile and conflict affected situations,FCS,44.25483618,44.5268095,45.83466384,45.34646277,45.4703852,45.76903204,45.73236457,45.63255041,46.08256058,52.21618621,51.76152184,51.73723734,51.36296979,51.749635,50.86239919,50.70204807,51.4469547,49.64703158,47.89610033,48.35936425,49.0528823,49.0298795,48.09805334,48.31648131,48.17013189,48.10317213,46.68138047,48.20306188,47.95983005,49.24893558,44.87493835,46.21070416,47.56506363,39.95254924,47.87818168
Finland,FIN,60.44171863,58.19475399,54.64571227,53.15410689,57.66365832,58.63735814,60.24221204,57.8054603,58.23662615,55.47017689,56.56220558,53.92849134,54.80545497,56.88474415,52.9464572,55.65215756,53.26542931,51.49752183,50.79324858,49.78670138,50.33441953,51.34684724,54.42239575,53.33484352,49.1854771,51.70609552,49.82068829,47.71862236,48.47891187,48.80002881,46.98862802,43.03336372,42.62672305,42.18252679,52.66452256
France,FRA,77.75584648,76.61918614,72.29762216,67.52500998,64.33921912,61.28573804,60.41852402,59.39941239,58.84821173,58.15395849,57.94478445,56.15970578,54.19402551,53.31348303,53.57382198,53.84750116,52.90067538,54.79426487,54.01870151,52.80593885,53.40057813,52.81353407,52.69399252,52.41503854,52.29710794,51.89245198,51.68550601,50.8434655,50.85168259,49.83637832,48.67698651,49.01202707,48.54358131,46.22592306,56.21717308
Gabon,GAB,58.53120711,58.45977828,58.48018444,54.08300933,47.27395597,46.15140073,42.25245607,44.35885682,39.39566018,32.01095306,31.89974999,34.47956965,36.75772049,28.36983752,32.61049644,34.51410634,34.23558004,36.77855125,33.55452859,32.43088502,35.1822772,28.07896353,23.57891739,20.96227187,20.376564,18.70251161,18.20739896,17.11377036,16.4621275,18.90264227,26.22884402,30.69468887,22.05960039,22.78651631,33.4107524
United Kingdom,GBR,94.66282545,93.80622994,92.95642334,92.42253227,91.89555163,92.06996551,92.3375625,91.28950432,89.92769081,90.65258583,90.1991746,89.21274479,87.79016543,87.79003822,87.71102814,87.56976162,86.71951891,86.77063541,87.23515523,88.41036373,87.82897536,88.53442838,88.82498255,88.61973186,88.15744775,88.6059099,89.61975501,90.17869547,87.36773537,88.16810568,85.56318573,85.13981223,83.5597408,82.7165785,88.95042771
Ghana,GHA,20.74249216,22.07629318,11.52889837,16.42281014,19.58608989,17.44668947,20.36820585,15.1411127,18.43305265,18.2359664,16.5625589,16.08869506,17.40874908,17.61105115,18.78593182,19.3233444,20.49129177,26.62183133,25.87802464,28.35021093,32.17571931,36.02899109,36.76213635,36.9201097,37.602505,43.03432272,45.75724713,42.95207948,46.00239359,49.67778841,49.82103972,52.6160022,52.49759344,52.54306013,29.45571436
Gibraltar,GIB,100,100,,99.99690699,100,99.99770162,100,100,100,,,100,100,100,100,100,100,100,99.99917964,100,,,100,100,,100,100,100,100,,100,,98.96050914,99.51281724,99.94104287
Greece,GRC,94.74596443,94.56292029,94.83612026,94.39760852,95.7001889,94.97225999,95.58043796,96.17815003,96.63051869,94.56338072,94.05584414,94.32196258,94.16119401,94.2701135,93.85006004,93.46299999,93.51094723,94.08694815,94.17983504,94.59119325,94.38734266,94.07165972,93.98922592,93.7794444,93.41073803,92.88599171,93.02602135,92.78015423,92.37083311,90.38560276,90.85296404,90.14823363,88.00125276,86.04931718,93.49404204
Guatemala,GTM,33.28776943,29.26485045,27.49039545,30.24975888,30.08180415,23.58023842,25.1439048,26.51374689,26.06837762,27.86725739,28.59310409,30.94750409,31.69115918,35.56152207,36.61796529,37.7069844,38.25351654,42.21660727,40.31014636,42.27666514,43.24444527,44.30087278,42.48637456,42.97532709,44.16831872,43.1870956,43.40464972,40.36716288,39.04930283,32.66035575,30.92107225,30.87615772,32.65370676,37.37859696,35.04107991
High income,HIC,89.95916703,89.16645245,88.2364502,87.22276452,86.07552587,85.50313364,85.15412722,84.94219185,84.83512789,84.04462251,83.45292392,83.46183855,83.31899573,83.27179086,83.00460822,82.99403194,83.25729922,83.01211336,82.88799045,82.89419015,83.2344928,83.11799951,83.43057874,83.02436662,82.71954214,82.49553565,82.85907777,82.37333306,81.49274898,81.18542782,81.74849146,81.68459575,81.4599717,81.10787364,83.78321709
Honduras,HND,28.34226209,32.01052143,28.98913279,30.42804752,27.22483316,28.65084165,29.12125499,30.64819987,31.77469907,30.01649454,29.86986801,32.28274902,33.22425374,36.95167983,41.23647126,40.32338557,38.10993023,42.86878071,49.08964853,48.27216358,52.81255222,53.55272814,54.73352653,56.48111791,54.86179356,50.47652387,54.82596042,54.27791449,50.80048492,51.16665966,52.14850779,51.48488363,51.35134251,52.47931253,42.08495664
Heavily indebted poor countries (HIPC),HPC,15.16889315,15.08739036,14.17732244,14.26505074,13.96840342,14.03699426,14.19842346,14.15262652,14.02823162,14.00577955,13.29639732,13.16750795,12.93206617,13.04862045,13.94363134,14.57267036,15.0491588,15.34313109,16.5815664,16.2494672,15.64216285,16.8288848,16.7949858,17.04783908,17.31736386,18.3374391,19.02340517,19.14419789,19.19003398,19.67985049,19.83541338,20.68542916,21.04939111,22.33194466,16.18181394
Haiti,HTI,9.517007117,11.65209061,12.95456868,13.37846283,13.25604035,16.49257519,17.64753807,18.53231601,19.49136945,19.73422144,18.64176316,16.76037583,14.37212363,4.393470013,17.76927447,17.86149782,22.45268361,20.65677739,22.03207181,23.30767712,24.88890945,24.96273559,24.55431938,27.713821,19.49572623,19.38001494,20.99531346,20.72857308,19.2931334,17.77460884,17.96016537,18.04955731,18.69779908,22.01589404,18.45336693
Hungary,HUN,95.50330427,95.3392698,92.83917206,91.08635002,89.11244954,88.60438902,85.92848968,83.69957223,83.14279125,81.60450845,81.6714475,81.0604298,81.89985324,81.13193176,81.60281715,81.9531038,81.88620888,82.16912862,81.74121511,80.53891348,80.98183667,80.79182568,83.13716845,81.82083907,80.36822766,80.06276464,78.97654983,77.82372613,74.1696087,74.2719228,73.29380076,71.78642365,69.54963749,68.1924014,81.69829643
IBRD only,IBD,70.63803064,71.18742324,71.21946246,71.55380422,71.90964419,72.35868749,72.91198938,73.3538498,73.54460577,80.89764041,80.52355725,80.06631299,79.94570987,79.60766534,80.07610284,80.11500259,80.08155145,79.93037489,80.00964938,80.09789143,80.36104571,80.66006805,81.45459441,82.15993182,82.67257034,83.14020915,83.46345445,83.58534511,83.67222637,84.1594808,84.59590055,84.48457586,84.23489797,84.42221479,79.20869032
