,Country_Name,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014
3908,Kazakhstan,,,,,,,,,,,,0.275,-0.375,-0.05,2.038,-0.408,1.886,0.493,1.37,1.494,1.645,2.252,0.132,2.156,1.559,1.445,2.2,1.556,1.187,1.299,0.738,1.143,1.614,0.669
3942,Kenya,0.169,0.279,0.599,0.172,-0.052,0.139,0.728,0.607,-0.183,-0.021,0.272,0.419,0.051,0.51,0.391,0.424,0.503,0.26,0.234,0.52,0.606,0.729,0.886,0.656,0.729,0.734,0.456,0.727,1.296,1.084,1.02,0.898,0.805,0.9
3976,Kiribati,0.276,0.235,0.179,-0.081,0.12,0.387,0.18,0.15,-0.112,0.309,0.369,0.263,-0.053,0.225,0.612,0.43,0.229,0.656,0.085,0.352,0.634,0.736,0.818,,,0.796,0.89,0.714,1.03,0.738,0.755,0.855,1.054,1.194
4010,Kuwait,0.156,-0.411,-0.894,0.053,-0.183,0.258,0.541,0.269,-0.037,0.213,0.331,-0.729,-0.3,0.765,0.011,0.715,0.321,1.14,1.881,1.037,1.106,1.451,1.37,1.3,0.495,1.683,0.968,1.209,1.102,2.442,1.154,1.344,1.215,1.354
4044,Kyrgyzstan,,,,,,,,,,,,0.067,-0.08,0.292,0.471,-0.406,1.438,0.816,1.087,1.098,1.438,1.415,0.417,1.505,1.156,1.631,1.702,1.01,0.991,1.361,1.235,0.289,1.383,0.495
4078,Lao People's Democratic Republic,0.491,0.232,0.318,0.139,0.333,0.078,0.98,0.362,0.288,0.484,0.735,0.226,0.33,0.441,0.678,0.212,0.406,1.503,0.727,0.102,0.786,0.72,1.06,0.491,0.961,0.936,0.656,0.338,0.699,1.405,0.171,0.998,1.189,0.758
4112,Latvia,,,,,,,,,,,,1.567,0.375,0.668,1.603,-0.434,0.746,0.637,1.538,1.997,1.806,1.705,0.227,0.996,1.329,1.058,2.175,2.375,1.499,0.665,1.118,1.369,1.046,2.284
4146,Lebanon,0.021,-0.501,-0.963,-0.088,-0.023,0.224,-0.254,-0.004,0.122,0.052,0.408,-1.026,-0.435,1.057,0.063,0.408,-0.093,1.004,1.102,0.554,1.158,0.849,0.656,0.684,0.318,0.756,0.762,1.023,0.896,2.372,0.703,1.083,1.275,1.072
4180,Lesotho,-0.277,0.299,1.028,0.366,0.79,0.49,0.582,0.459,-0.01,0.336,0.524,0.988,1.03,0.112,0.719,-0.221,0.231,0.908,1.217,0.314,0.569,0.545,0.778,0.835,0.872,0.169,0.718,0.456,0.461,1.205,0.449,0.714,0.622,0.575
4214,Liberia,0.138,0.217,0.489,0.349,0.279,0.161,0.938,0.822,0.353,0.576,0.512,0.241,0.524,0.529,0.628,0.565,0.988,1.342,0.805,0.502,0.53,0.885,0.921,0.897,1.077,1.095,1.022,1.17,1.377,1.395,1.059,0.847,0.954,0.918
